0, Gemeente, aantal
0,aalst,88000
1,aalter, 29.000
2,aarschot,30175
3,aarsele,2978
4,deux-acren,3988
5,aiseau-presles,10500
6,alken,11.685 
7,amay,14000
8,ampsin,3260
9,seilles,5000
10,angleur,10136
11,ans,28000
12,anseremme,2064
13,antoing,7500 
14,berchem,43433
15,antwerpen,506922
16,anzegem,14000
17,,2993
18,watermaal-bosvoorde,25000
19,grez doiceau,13000
20,arlon,30.000 
21,asse,29,334
22,assesse,7.000 
23,ath,29.000 
24,athus,7979
25,aubange,17.000 
26,auvelais,28.000 
27,aye,2877
28,aywaille,12.000 
29,baasrode-zuid,6345
30,balegem - oosterzele,3707
31,balen,22000
32,bambrugge - erpe-mere,1829
33,barvaux,475
34,bas-oha,1711
35,wavre,34000
36,bastogne,16000
38,beauraing,9000
39,beernem,15000 
40,beersel,23578
41,beervelde,2816
42,begijnendijk,9468
43,ham-sur-heure-nalinnes,13500
44,bellem,2258
45,belsele,9742
46,beringen,46558
47,berlaar,11000
48,bertrix,8000
49,berzee,804
50,beuzet,1371
51,beveren-waas,49000
52,bierges,5058
53,bierset,1499
54,bilzen,32000
55,binche,33000
56,bissegem,15533
57,blankenberge,20400
58,chastre,7000
59,blaton,11916
60,waremme,15000
"61,brussel,176 545	"
62,boechout,13000
63,genk,66000
64,bomal,1469
65,booischot,6000
66,boom,18000
67,boortmeerbeek,11531
68,bornem,13633
69,bosvoorde,24871
70,boussu,19000
71,grobbendonk,11236
72,strepy-bracquegnies,8000
73,braine l'alleud,40000
74,braine-le-comte,21901
75,liege (bressoux),12 721 
76,brugelette,3000
77,brugge,118446
78,sint-jans-molenbeek,97000
79,zaventem,29034
80,vilvoorde,37964
81,buggenhout,14000
82,buizingen-halle,6502
83,erpe-mere,20611
84,callenelle,597
85,cambron-casteau,344
86,carlsbourg,953
87,carnières,8135
88,céroux-mousty,4800
89,gembloux,23705
91,charleroi,203464
92,chaudfontaine,21000
93,chatelet,36000
94,chenee,9101
95,ciney,16000
96,comblain la tour,5321
97,komen,18000
98,stavelot,6867
99,couillet,12546 
100,courcelles,31400
101,courrière,10554
102,court-saint-etienne,10
103,couvin,13800
104,sint-genesius-rode,17975
105,de panne,11000
106,de pinte,10 702
107,deinze,44319
108,denderleeuw,20338
109,dendermonde,45849
110,diegem,5992
111,diepenbeek,19000
112,uccle,85099
113,diest,22740
114,diksmuide,16828
115,dilbeek,39585
116,dinant,13000
117,bilstain,1491
118,gent,263429
119,duffel,17000
120,duinbergen,12828
121,haaltert,18000
122,eeklo,21000
123,ninove,39000
124,eine,4438
125,eke - nazareth,11701
126,antwerpen (ekeren),23013
127,enghien,14000
128,engis,6000
129,eppegem,4548
130,erbisoeul,2051
131,erembodegem,11804
132,erps-kwerps,5879
133,erquelinnes,10000
134,esneux,13158
135,essen,582415
136,ternat,14765
137,elsene,85000 
138,eupen,19000 
139,evergem,35000 
140,ezemaal,471
141,familleureux,977
142,farciennes,11000
143,fexhe-le-haut-clocher,3000
144,flawinne,4574
145,flemalle,26000
146,fleurus,22480
147,floreffe,8000
148,florée,1000
149,forchies,5783
150,forrieres (nassogne),1376
151,trooz,8000
152,frameries,21500
153,theux,11.995 
154,franiere,1800 
155,froyennes,2177
156,galmaarden,8158
157,gavere,12600
158,gedinne,4500
159,geel,40000
160,gendron-celles,532
161,genly,1035
162,gentbrugge,7344
163,genval,8449
164,geraardsbergen,34000
165,ghlin,8620
166,bassenge (glons),2517
167,godarville,2448
168,godinne,2405
169,gontrode - melle,1000
170,gouvy,4931
171,gouy-lez-pieton,3182
172,graide,813
173,hoeilaart,10074
174,groot-bijgaarden - dilbeek,7243
175,grupont,190
176,haacht,13729
177,habay,8000 
178,hainin,906
179,halanzy,2500
180,halle,31108
181,ham sur sambre,19146
182,tildonk-hambos,3971
183,hamoir,3500
184,hamont,14294
185,nevele,11000
186,harchies,1500
187,harelbeke,29000
188,haren,17950
189,hasselt,78364
190,saint-georges-sur-meuse,6500
191,haversin,17007
192,havré,172366
193,heide,460
