Jaar;Trimester;Sector;Secteur;Sector of activity;Aantal effectieve rijpaden
2007;2007 - Q1;Goederen;Fret;Freight;95198
2007;2007 - Q3;Reizigers;Voyageurs;Passengers;360319
2008;2008 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;31
2008;2008 - Q2;Reizigers;Voyageurs;Passengers;349478
2008;2008 - Q4;Goederen;Fret;Freight;57793
2009;2009 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;24
2009;2009 - Q1;Reizigers;Voyageurs;Passengers;355514
2009;2009 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;32
2009;2009 - Q2;Goederen;Fret;Freight;43049
2010;2010 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;25
2010;2010 - Q1;Reizigers;Voyageurs;Passengers;373424
2010;2010 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;82
2011;2011 - Q1;Goederen;Fret;Freight;46094
2011;2011 - Q1;Reizigers;Voyageurs;Passengers;376171
2011;2011 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;71
2011;2011 - Q2;Reizigers;Voyageurs;Passengers;373821
2011;2011 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;98
2011;2011 - Q4;Goederen;Fret;Freight;39881
2012;2012 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;57
2012;2012 - Q1;Reizigers;Voyageurs;Passengers;378983
2012;2012 - Q2;Goederen;Fret;Freight;38679
2012;2012 - Q3;Goederen;Fret;Freight;36735
2012;2012 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;29
2013;2013 - Q1;Reizigers;Voyageurs;Passengers;366718
2013;2013 - Q2;Goederen;Fret;Freight;35425
2014;2014 - Q1;Goederen;Fret;Freight;34496
2014;2014 - Q2;Reizigers;Voyageurs;Passengers;361182
2015;2015 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;11
2015;2015 - Q1;Reizigers;Voyageurs;Passengers;346073
2015;2015 - Q3;Goederen;Fret;Freight;35535
2015;2015 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;2
2015;2015 - Q4;Goederen;Fret;Freight;35052
2016;2016 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;2
2016;2016 - Q2;Goederen;Fret;Freight;37294
2016;2016 - Q3;Goederen;Fret;Freight;37256
2016;2016 - Q3;Reizigers;Voyageurs;Passengers;350953
2016;2016 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;1
