Datum;Van;Naar;Moment;Instant;Moment of day;Stiptheid;Rittijd
2021-05-17;CHARLEROI-SUD;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;100.0;01:01:50
2021-05-17;HASSELT;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;87.5;01:10:18
2021-05-17;MONS;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;70.0;00:58:25
2021-05-17;TOURNAI;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;100.0;01:12:15
2021-05-17;BRUSSEL-CENTRAAL;CHARLEROI-SUD;Avondspits;Pointe du soir;Evening peak hour;100.0;01:00:22
2021-05-17;BRUSSEL-CENTRAAL;GENT-SINT-PIETER;Avondspits;Pointe du soir;Evening peak hour;83.3;00:37:44
2021-05-17;BRUSSEL-CENTRAAL;HASSELT;Avondspits;Pointe du soir;Evening peak hour;75.0;01:08:53
2021-05-17;BRUSSEL-CENTRAAL;MONS;Avondspits;Pointe du soir;Evening peak hour;70.0;01:00:22
2021-05-18;GENT-SINT-PIETERS;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;100.0;00:38:00
2021-05-18;KORTRIJK;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;100.0;01:14:23
2021-05-18;BRUSSEL-CENTRAAL;ANTWERPEN-CENTRA;Avondspits;Pointe du soir;Evening peak hour;66.7;00:54:14
2021-05-18;BRUSSEL-CENTRAAL;CHARLEROI-SUD;Avondspits;Pointe du soir;Evening peak hour;57.1;01:05:39
2021-05-18;BRUSSEL-CENTRAAL;HASSELT;Avondspits;Pointe du soir;Evening peak hour;83.3;01:11:34
2021-05-19;KORTRIJK;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;100.0;01:14:52
2021-05-19;NAMUR;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;87.5;01:08:01
2021-05-19;BRUSSEL-CENTRAAL;ANTWERPEN-CENTRA;Avondspits;Pointe du soir;Evening peak hour;100.0;00:47:03
2021-05-19;BRUSSEL-CENTRAAL;CHARLEROI-SUD;Avondspits;Pointe du soir;Evening peak hour;100.0;01:00:30
2021-05-19;BRUSSEL-CENTRAAL;KORTRIJK;Avondspits;Pointe du soir;Evening peak hour;100.0;01:13:58
2021-05-19;BRUSSEL-CENTRAAL;LIEGE-GUILLEMINS;Avondspits;Pointe du soir;Evening peak hour;57.1;01:05:57
2021-05-20;HASSELT;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;75.0;01:11:13
2021-05-20;MONS;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;80.0;00:55:00
2021-05-20;NAMUR;BRUSSEL-CENTRAAL;Ochtendspits;Pointe du matin;Morning peak hour;87.5;01:07:28
2021-05-20;BRUSSEL-CENTRAAL;HASSELT;Avondspits;Pointe du soir;Evening peak hour;87.5;01:09:28
2021-05-20;BRUSSEL-CENTRAAL;NAMUR;Avondspits;Pointe du soir;Evening peak hour;100.0;01:08:12
