;Station;Avg number of travelers in the week;Avg number of travelers on Saturday;Avg number of travelers on Sunday
0;AALST;6444;1768;1592
1;AALST-KERREBROEK;27;;
2;AALTER;2288;1055;855
3;AARSCHOT;6270;1954;1395
4;AARSELE;34;;
5;ACREN;226;43;50
6;AISEAU;100;15;17
7;ALKEN;647;254;310
8;AMAY;262;68;50
9;AMPSIN;134;30;20
10;ANDENNE;1746;499;427
11;ANGLEUR;565;147;126
12;ANS;1040;118;88
13;ANSEREMME;51;124;45
14;ANTOING;293;123;107
15;ANTWERPEN-BERCHEM;17289;8163;8506
16;ANTWERPEN-CAAL;39628;23918;18553
17;ANTWERPEN-LUCHTBAL;1082;161;93
18;ANTWERPEN-NOORDERDOKKEN;263;43;16
19;ANTWERPEN-ZUID;3262;164;175
20;ANZEGEM;188;;
21;APPELTERRE;213;60;54
22;ARCADES;86;;
23;ARCHENNES;148;10;11
24;ARLON;5476;1331;3075
25;ASSE;1085;239;182
26;ASSESSE;212;57;40
27;ATH;5256;1592;1712
28;ATHUS;989;219;169
29;AUBANGE;62;;
30;AUVELAIS;492;230;174
31;AYE;45;17;15
32;AYWAILLE;180;87;95
33;BAASRODE-ZUID;216;;
34;BALEGEM-DORP;291;74;72
35;BALEGEM-ZUID;222;;
36;BALEN;285;98;71
37;BAMBRUGGE;50;;
38;BARVAUX;334;109;132
39;BAS-OHA;56;19;31
40;BASSE-WAVRE;434;31;33
41;BEAURAING;260;83;166
42;BEERNEM;601;172;138
43;BEERSEL;197;;
44;BEERVELDE;214;53;38
45;BEGIJNENDIJK;315;108;123
46;BEIGNEE;20;;
47;BELLEM;179;45;53
48;BELSELE;431;51;41
49;BERCHEM-ST-AG.-BERCHEM;793;168;132
50;BERINGEN;135;54;40
51;BERLAAR;375;152;193
52;BERTRIX;329;105;189
53;BERZEE;132;28;25
54;BEUZET;141;21;17
55;BEVEREN;1305;73;71
56;BEVERLO;146;53;37
57;BIERGES-WALIBI;146;504;562
58;BIERSET-AWANS;121;34;27
59;BILZEN;555;106;107
60;BINCHE;335;187;154
61;BISSEGEM;272;85;131
62;BLANKENBERGE;1790;1348;1679
63;BLANMONT;172;22;16
64;BLATON;536;190;141
65;BLERET;51;;
66;BOCKSTAEL;929;129;107
67;BOECHOUT;424;143;186
68;BOITSFORT/BOSVOORDE;1002;155;185
69;BOKRIJK;171;73;157
70;BOMAL;236;65;112
71;BOOISCHOT;293;118;79
72;BOOM;428;34;36
73;BOONDAEL/BOONDAAL;1106;129;103
74;BOORTMEERBEEK;604;196;185
75;BORDET;1633;165;126
76;BORNEM;830;265;221
77;BOUSSU;184;106;91
78;BOUWEL;467;149;199
79;BRACQUEGNIES;119;25;25
80;BRAINE-l'ALLEUD;6133;2184;1611
81;BRAINE-LE-COMTE;5298;1375;1093
82;BRESSOUX;145;46;29
83;BRU.-CENT.;60706;23336;22027
84;BRU.-CHAP./KAP.;107;;
85;BRU.-CONG.;465;;
86;BRU.-LUXEMBG;8743;2405;1996
87;BRU.-MIDI/ZUID;59670;23733;24534
88;BRU.-NOORD/NORD;63779;25820;21621
89;BRU.-SCHUMAN;8458;1943;2163
90;BRU.-WEST/OUEST;127;51;33
91;BRU. AIRPORT - ZAVENTEM;10751;6386;7456
92;BRUGELETTE;294;57;45
93;BRUGGE;18091;12737;12249
94;BRUGGE-SINT-PIETERS;99;12;7
95;BUDA;65;;
96;BUGGENHOUT;562;236;187
97;BUIZINGEN;514;175;114
98;BURST;927;128;110
99;CALLENELLE;12;;
100;CAMBRON-CASTEAU;156;251;146
101;CARLSBOURG;44;11;34
102;CARNIERES;111;38;22
103;CEROUX-MOUSTY;170;27;20
104;CHAPELLE-DIEU;47;;
105;CHAPOIS;48;29;14
106;CHARLEROI-OUEST;93;14;15
107;CHARLEROI-SUD;11786;5490;4464
108;CHASTRE;370;79;48
109;CHATEAU-DE-SEILLES;136;25;14
110;CHATELET;702;209;202
111;CHAUDFONTAINE;94;21;12
112;CHENEE;94;21;17
113;CINEY;2127;805;1090
114;COMBLAIN-LA-TOUR;127;44;54
115;COMINES/KOMEN;462;163;279
116;COO;35;50;66
117;COUILLET;88;;
